id_aluno,nome,curso,periodo,disciplinas_cursadas,areas_interesse
1,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
2,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
3,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
4,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
5,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
6,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
7,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
8,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
9,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
10,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
11,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
12,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
13,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
14,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
15,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
16,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
17,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
18,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
19,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
20,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
21,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
22,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
23,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
24,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
25,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
26,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
27,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
28,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
29,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
30,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
31,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
32,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
33,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
34,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
35,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
36,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
37,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
38,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
39,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
40,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
41,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
42,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
43,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
44,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
45,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
46,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
47,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
48,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
49,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
50,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
51,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
52,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
53,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
54,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
55,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
56,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
57,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
58,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
59,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
60,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
61,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
62,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
63,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
64,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
65,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
66,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
67,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
68,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
69,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
70,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
71,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
72,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
73,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
74,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
75,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
76,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
77,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
78,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
79,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
80,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
81,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
82,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
83,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
84,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
85,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
86,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
87,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
88,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
89,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
90,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
91,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
92,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
93,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
94,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
95,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
96,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
97,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
98,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
99,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
100,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
101,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
102,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
103,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
104,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
105,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
106,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
107,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
108,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
109,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
110,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
111,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
112,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
113,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
114,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
115,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
116,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
117,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
118,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
119,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
120,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
121,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
122,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
123,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
124,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
125,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
126,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
127,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
128,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
129,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
130,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
131,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
132,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
133,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
134,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
135,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
136,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
137,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
138,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
139,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
140,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
141,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
142,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
143,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
144,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
145,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
146,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
147,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
148,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
149,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
150,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
151,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
152,Mariana Rocha,SI,5,"UX, PM, BD","Marketing Digital, Analytics"
153,João Silva,Engenharia de Software,5,"Algoritmos, Banco de Dados, IA","ML, Programação, Cloud"
154,Maria Souza,Ciência de Dados,3,"Estatística, Python, ML","IA, Visualização, Big Data"
155,Carlos Oliveira,Engenharia de Computação,7,"Redes, SO, Arquitetura","IoT, Segurança, Hardware"
156,Ana Pereira,SI,4,"Gestão, Redes, BD","UX, PM, Analytics"
157,Lucas Santos,Engenharia de Software,6,"BD, IA, Web","Mobile, DevOps, QA"
158,Juliana Lima,Ciência de Dados,2,"Python, Estatística","NLP, Deep Learning"
159,Pedro Costa,Engenharia de Computação,8,"Arquitetura, Compiladores","Robótica, Embedded"
